"epiweek","epiyear","Meningococcal disease, All serogroups cummulative current year","Meningococcal disease, Serogroups ACWY cummulative current year","Meningococcal disease, Serogroup B cummulative for current year","Meningococcal disease, Other serogroups cummulative current year","Meningococcal disease, Unknown serogroup cummulative current year","Meningococcal disease, All serogroups incidence current week","Meningococcal disease, Unknown serogroup incidence current week","Meningococcal disease, Serogroups ACWY incidence current week","Meningococcal disease, Serogroup B incidence current week","Meningococcal disease, Other serogroups incidence current week","date"
1,1995,35,NA,NA,NA,NA,35,NA,NA,NA,NA,"1995-01-01"
1,1995,35,NA,NA,NA,NA,35,NA,NA,NA,NA,"1995-01-01"
2,1995,79,NA,NA,NA,NA,44,NA,NA,NA,NA,"1995-01-08"
2,1995,79,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-01-08"
3,1995,145,NA,NA,NA,NA,66,NA,NA,NA,NA,"1995-01-15"
3,1995,145,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-01-15"
4,1995,226,NA,NA,NA,NA,81,NA,NA,NA,NA,"1995-01-22"
4,1995,226,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-01-22"
5,1995,282,NA,NA,NA,NA,56,NA,NA,NA,NA,"1995-01-29"
5,1995,282,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-01-29"
6,1995,340,NA,NA,NA,NA,58,NA,NA,NA,NA,"1995-02-05"
6,1995,340,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-02-05"
7,1995,423,NA,NA,NA,NA,83,NA,NA,NA,NA,"1995-02-12"
7,1995,423,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-02-12"
8,1995,499,NA,NA,NA,NA,76,NA,NA,NA,NA,"1995-02-19"
8,1995,499,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-02-19"
9,1995,577,NA,NA,NA,NA,78,NA,NA,NA,NA,"1995-02-26"
9,1995,577,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-02-26"
10,1995,667,NA,NA,NA,NA,90,NA,NA,NA,NA,"1995-03-05"
10,1995,667,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-03-05"
11,1995,743,NA,NA,NA,NA,76,NA,NA,NA,NA,"1995-03-12"
11,1995,743,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-03-12"
12,1995,823,NA,NA,NA,NA,80,NA,NA,NA,NA,"1995-03-19"
12,1995,823,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-03-19"
13,1995,903,NA,NA,NA,NA,80,NA,NA,NA,NA,"1995-03-26"
13,1995,903,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-03-26"
14,1995,975,NA,NA,NA,NA,72,NA,NA,NA,NA,"1995-04-02"
14,1995,975,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-04-02"
15,1995,1045,NA,NA,NA,NA,70,NA,NA,NA,NA,"1995-04-09"
15,1995,1045,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-04-09"
16,1995,1105,NA,NA,NA,NA,60,NA,NA,NA,NA,"1995-04-16"
16,1995,1105,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-04-16"
17,1995,1173,NA,NA,NA,NA,68,NA,NA,NA,NA,"1995-04-23"
17,1995,1173,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-04-23"
18,1995,1248,NA,NA,NA,NA,75,NA,NA,NA,NA,"1995-04-30"
18,1995,1248,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-04-30"
19,1995,1327,NA,NA,NA,NA,79,NA,NA,NA,NA,"1995-05-07"
19,1995,1327,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-05-07"
20,1995,1402,NA,NA,NA,NA,75,NA,NA,NA,NA,"1995-05-14"
20,1995,1402,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-05-14"
21,1995,1497,NA,NA,NA,NA,95,NA,NA,NA,NA,"1995-05-21"
21,1995,1497,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-05-21"
22,1995,1557,NA,NA,NA,NA,60,NA,NA,NA,NA,"1995-05-28"
22,1995,1557,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-05-28"
23,1995,1598,NA,NA,NA,NA,41,NA,NA,NA,NA,"1995-06-04"
23,1995,1598,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-06-04"
24,1995,1650,NA,NA,NA,NA,52,NA,NA,NA,NA,"1995-06-11"
24,1995,1650,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-06-11"
25,1995,1714,NA,NA,NA,NA,64,NA,NA,NA,NA,"1995-06-18"
25,1995,1714,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-06-18"
26,1995,1796,NA,NA,NA,NA,82,NA,NA,NA,NA,"1995-06-25"
26,1995,1796,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-06-25"
27,1995,1849,NA,NA,NA,NA,53,NA,NA,NA,NA,"1995-07-02"
27,1995,1849,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-07-02"
28,1995,1894,NA,NA,NA,NA,45,NA,NA,NA,NA,"1995-07-09"
28,1995,1894,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-07-09"
29,1995,1937,NA,NA,NA,NA,43,NA,NA,NA,NA,"1995-07-16"
29,1995,1937,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-07-16"
30,1995,1985,NA,NA,NA,NA,48,NA,NA,NA,NA,"1995-07-23"
30,1995,1985,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-07-23"
31,1995,2036,NA,NA,NA,NA,51,NA,NA,NA,NA,"1995-07-30"
31,1995,2036,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-07-30"
32,1995,2073,NA,NA,NA,NA,37,NA,NA,NA,NA,"1995-08-06"
32,1995,2073,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-08-06"
33,1995,2101,NA,NA,NA,NA,28,NA,NA,NA,NA,"1995-08-13"
33,1995,2101,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-08-13"
34,1995,2134,NA,NA,NA,NA,33,NA,NA,NA,NA,"1995-08-20"
34,1995,2134,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-08-20"
35,1995,2162,NA,NA,NA,NA,28,NA,NA,NA,NA,"1995-08-27"
35,1995,2162,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-08-27"
36,1995,2187,NA,NA,NA,NA,25,NA,NA,NA,NA,"1995-09-03"
36,1995,2187,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-09-03"
37,1995,2221,NA,NA,NA,NA,34,NA,NA,NA,NA,"1995-09-10"
37,1995,2221,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-09-10"
38,1995,2257,NA,NA,NA,NA,36,NA,NA,NA,NA,"1995-09-17"
38,1995,2257,NA,NA,NA,NA,0,NA,NA,NA,NA,"1995-09-17"
39,1995,2291,NA,NA,NA,NA,34,NA,NA,NA,NA,"1995-09-24"
