"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"ACWY Serogroups",2014,1,1,1,"2013-12-29"
"Serogroup B",2014,1,0,0,"2013-12-29"
"Other Serogroup",2014,1,0,0,"2013-12-29"
"Unknown Serogroup",2014,1,8,8,"2013-12-29"
"ACWY Serogroups",2014,2,1,3,"2014-01-05"
"Serogroup B",2014,2,0,1,"2014-01-05"
"Other Serogroup",2014,2,0,0,"2014-01-05"
"Unknown Serogroup",2014,2,3,11,"2014-01-05"
"ACWY Serogroups",2014,3,0,6,"2014-01-12"
"Serogroup B",2014,3,0,1,"2014-01-12"
"Other Serogroup",2014,3,0,0,"2014-01-12"
"Unknown Serogroup",2014,3,2,11,"2014-01-12"
"ACWY Serogroups",2014,4,3,11,"2014-01-19"
"Serogroup B",2014,4,0,1,"2014-01-19"
"Other Serogroup",2014,4,0,2,"2014-01-19"
"Unknown Serogroup",2014,4,3,16,"2014-01-19"
"ACWY Serogroups",2014,5,0,12,"2014-01-26"
"Serogroup B",2014,5,0,2,"2014-01-26"
"Other Serogroup",2014,5,0,2,"2014-01-26"
"Unknown Serogroup",2014,5,6,22,"2014-01-26"
"ACWY Serogroups",2014,6,0,13,"2014-02-02"
"Serogroup B",2014,6,0,2,"2014-02-02"
"Other Serogroup",2014,6,0,2,"2014-02-02"
"Unknown Serogroup",2014,6,6,29,"2014-02-02"
"ACWY Serogroups",2014,7,1,15,"2014-02-09"
"Serogroup B",2014,7,0,6,"2014-02-09"
"Other Serogroup",2014,7,1,3,"2014-02-09"
"Unknown Serogroup",2014,7,1,34,"2014-02-09"
"ACWY Serogroups",2014,8,2,17,"2014-02-16"
"Serogroup B",2014,8,0,6,"2014-02-16"
"Other Serogroup",2014,8,0,3,"2014-02-16"
"Unknown Serogroup",2014,8,3,39,"2014-02-16"
"ACWY Serogroups",2014,9,3,21,"2014-02-23"
"Serogroup B",2014,9,1,7,"2014-02-23"
"Other Serogroup",2014,9,0,3,"2014-02-23"
"Unknown Serogroup",2014,9,6,51,"2014-02-23"
"ACWY Serogroups",2014,10,1,24,"2014-03-02"
"Serogroup B",2014,10,0,8,"2014-03-02"
"Other Serogroup",2014,10,0,3,"2014-03-02"
"Unknown Serogroup",2014,10,5,58,"2014-03-02"
"ACWY Serogroups",2014,11,0,26,"2014-03-09"
"Serogroup B",2014,11,0,13,"2014-03-09"
"Other Serogroup",2014,11,0,3,"2014-03-09"
"Unknown Serogroup",2014,11,2,57,"2014-03-09"
"ACWY Serogroups",2014,12,1,28,"2014-03-16"
"Serogroup B",2014,12,0,14,"2014-03-16"
"Other Serogroup",2014,12,0,3,"2014-03-16"
"Unknown Serogroup",2014,12,0,62,"2014-03-16"
"ACWY Serogroups",2014,13,0,29,"2014-03-23"
"Serogroup B",2014,13,0,14,"2014-03-23"
"Other Serogroup",2014,13,0,3,"2014-03-23"
"Unknown Serogroup",2014,13,6,75,"2014-03-23"
"ACWY Serogroups",2014,14,1,34,"2014-03-30"
"Serogroup B",2014,14,0,16,"2014-03-30"
"Other Serogroup",2014,14,0,4,"2014-03-30"
"Unknown Serogroup",2014,14,5,82,"2014-03-30"
"ACWY Serogroups",2014,15,1,39,"2014-04-06"
"Serogroup B",2014,15,1,18,"2014-04-06"
"Other Serogroup",2014,15,0,4,"2014-04-06"
"Unknown Serogroup",2014,15,2,88,"2014-04-06"
"ACWY Serogroups",2014,16,0,39,"2014-04-13"
"Serogroup B",2014,16,0,20,"2014-04-13"
"Other Serogroup",2014,16,0,4,"2014-04-13"
"Unknown Serogroup",2014,16,0,93,"2014-04-13"
"ACWY Serogroups",2014,17,0,39,"2014-04-20"
"Serogroup B",2014,17,1,21,"2014-04-20"
"Other Serogroup",2014,17,0,5,"2014-04-20"
"Unknown Serogroup",2014,17,3,97,"2014-04-20"
"ACWY Serogroups",2014,18,0,41,"2014-04-27"
"Serogroup B",2014,18,1,22,"2014-04-27"
"Other Serogroup",2014,18,0,5,"2014-04-27"
"Unknown Serogroup",2014,18,7,110,"2014-04-27"
"ACWY Serogroups",2014,19,0,44,"2014-05-04"
"Serogroup B",2014,19,0,24,"2014-05-04"
"Other Serogroup",2014,19,0,5,"2014-05-04"
"Unknown Serogroup",2014,19,6,114,"2014-05-04"
"ACWY Serogroups",2014,20,0,45,"2014-05-11"
"Serogroup B",2014,20,0,26,"2014-05-11"
"Other Serogroup",2014,20,0,5,"2014-05-11"
"Unknown Serogroup",2014,20,6,122,"2014-05-11"
"ACWY Serogroups",2014,21,0,46,"2014-05-18"
"Serogroup B",2014,21,0,28,"2014-05-18"
"Other Serogroup",2014,21,0,5,"2014-05-18"
"Unknown Serogroup",2014,21,1,123,"2014-05-18"
"ACWY Serogroups",2014,22,0,46,"2014-05-25"
"Serogroup B",2014,22,0,29,"2014-05-25"
"Other Serogroup",2014,22,0,6,"2014-05-25"
"Unknown Serogroup",2014,22,2,125,"2014-05-25"
"ACWY Serogroups",2014,23,0,49,"2014-06-01"
"Serogroup B",2014,23,0,30,"2014-06-01"
"Other Serogroup",2014,23,1,7,"2014-06-01"
"Unknown Serogroup",2014,23,4,128,"2014-06-01"
"ACWY Serogroups",2014,24,2,53,"2014-06-08"
"Serogroup B",2014,24,0,31,"2014-06-08"
"Other Serogroup",2014,24,0,7,"2014-06-08"
"Unknown Serogroup",2014,24,2,131,"2014-06-08"
"ACWY Serogroups",2014,25,0,54,"2014-06-15"
"Serogroup B",2014,25,0,31,"2014-06-15"
"Other Serogroup",2014,25,0,7,"2014-06-15"
"Unknown Serogroup",2014,25,2,134,"2014-06-15"
"ACWY Serogroups",2014,26,0,54,"2014-06-22"
"Serogroup B",2014,26,0,32,"2014-06-22"
"Other Serogroup",2014,26,0,7,"2014-06-22"
"Unknown Serogroup",2014,26,5,144,"2014-06-22"
